"À quoi prépare globalement cette formation ?","FORMATION_INFO"
"Quel est le rôle de cette formation ?","FORMATION_INFO"
"Cette filière est destinée à quel domaine ?","FORMATION_INFO"
"Cette formation s'adresse à quel type de parcours ?","FORMATION_INFO"
"Pourriez-vous me décrire cette filière en quelques phrases ?","FORMATION_INFO"
"Pouvez-vous me donner une description générale de cette formation ?","FORMATION_INFO"
"Je voudrais comprendre cette filière avant de faire mon choix.","FORMATION_INFO"
"Je souhaite connaître cette formation avant de m'orienter.","FORMATION_INFO"
"J'aimerais avoir une première présentation de cette filière.","FORMATION_INFO"
"Je viens de découvrir cette formation, pouvez-vous me l'expliquer ?","FORMATION_INFO"
"Je ne connais pas cette filière, pouvez-vous me dire de quoi il s'agit ?","FORMATION_INFO"
"Je découvre cette formation, quelles sont ses grandes lignes ?","FORMATION_INFO"
"Je voudrais savoir ce que cette filière représente concrètement.","FORMATION_INFO"
"Pouvez-vous m'expliquer le fonctionnement général de cette formation ?","FORMATION_INFO"
"Comment fonctionne cette filière dans son ensemble ?","FORMATION_INFO"
"Comment est construit ce parcours de manière générale ?","FORMATION_INFO"
"Quelle est l'orientation générale de cette formation ?","FORMATION_INFO"
"Vers quel domaine cette filière est-elle principalement tournée ?","FORMATION_INFO"
"Quels sont les grands domaines abordés par cette formation ?","FORMATION_INFO"
"Quel est le cœur de cette formation ?","FORMATION_INFO"
"Sur quoi repose principalement cette filière ?","FORMATION_INFO"
"Quelle est l'idée générale derrière cette formation ?","FORMATION_INFO"
"Quel est le concept de cette formation ?","FORMATION_INFO"
"Que faut-il retenir de cette filière ?","FORMATION_INFO"
"Pouvez-vous me donner les points essentiels de cette formation ?","FORMATION_INFO"
"Je voudrais simplement comprendre ce qu'est cette filière.","FORMATION_INFO"
"Je veux juste savoir de quoi il s'agit.","FORMATION_INFO"
"Cette filière, elle consiste en quoi ?","FORMATION_INFO"
"Cette formation sert à quoi au juste ?","FORMATION_INFO"
"Elle concerne quoi exactement, cette formation ?","FORMATION_INFO"
"On fait quoi dans cette filière en général ?","FORMATION_INFO"
"Quel est le domaine de cette formation ?","FORMATION_INFO"
"Quel genre de parcours propose cette formation ?","FORMATION_INFO"
"Qu'est-ce qui distingue cette filière des autres ?","FORMATION_INFO"
"Quelles sont les particularités générales de cette formation ?","FORMATION_INFO"
"Pouvez-vous me présenter cette filière sans entrer dans les détails ?","FORMATION_INFO"
"Je voudrais une présentation rapide de cette formation.","FORMATION_INFO"
"Pouvez-vous m'expliquer cette formation en quelques mots ?","FORMATION_INFO"
"Je cherche simplement des informations générales sur cette filière.","FORMATION_INFO"
"J'aimerais obtenir une présentation globale de cette formation.","FORMATION_INFO"

"Quelles sont les matières enseignées dans cette formation ?","FORMATION_MATIERES"
"Qu'est-ce qu'on étudie dans cette filière ?","FORMATION_MATIERES"
"Quels cours sont au programme de cette formation ?","FORMATION_MATIERES"
"Quelles matières vais-je suivre dans cette formation ?","FORMATION_MATIERES"
"Pouvez-vous me donner la liste des matières ?","FORMATION_MATIERES"
"Quels enseignements sont proposés dans cette filière ?","FORMATION_MATIERES"
"Quelles disciplines sont étudiées dans cette formation ?","FORMATION_MATIERES"
"Quels sont les cours dispensés dans cette filière ?","FORMATION_MATIERES"
"Quelles matières sont prévues au programme ?","FORMATION_MATIERES"
"Quel est le programme d'enseignement de cette formation ?","FORMATION_MATIERES"
"Je voudrais connaître les matières de cette filière.","FORMATION_MATIERES"
"Je cherche la liste des cours de cette formation.","FORMATION_MATIERES"
"Quels sont les principaux cours de cette formation ?","FORMATION_MATIERES"
"Quelles sont les matières principales de cette filière ?","FORMATION_MATIERES"
"Quels modules sont enseignés dans cette formation ?","FORMATION_MATIERES"
"Quels sont les modules au programme ?","FORMATION_MATIERES"
"Quelles unités d'enseignement sont proposées ?","FORMATION_MATIERES"
"Quelles UE sont prévues dans cette formation ?","FORMATION_MATIERES"
"Quelles disciplines composent cette filière ?","FORMATION_MATIERES"
"Quels enseignements composent le programme ?","FORMATION_MATIERES"
"Que contient le programme de cette formation ?","FORMATION_MATIERES"
"Que retrouve-t-on comme matières dans cette filière ?","FORMATION_MATIERES"
"Quels sujets sont abordés pendant cette formation ?","FORMATION_MATIERES"
"Quels sont les différents enseignements de cette formation ?","FORMATION_MATIERES"
"Pouvez-vous détailler les matières de cette filière ?","FORMATION_MATIERES"
"Pouvez-vous lister les cours de cette formation ?","FORMATION_MATIERES"
"Pouvez-vous me présenter le programme de cette filière ?","FORMATION_MATIERES"
"Je voudrais voir les matières prévues dans cette formation.","FORMATION_MATIERES"
"J'aimerais connaître les cours que l'on suit dans cette filière.","FORMATION_MATIERES"
"Je souhaite connaître les enseignements de cette formation.","FORMATION_MATIERES"
"Quelles matières sont incluses dans ce cursus ?","FORMATION_MATIERES"
"Quelles matières font partie de cette formation ?","FORMATION_MATIERES"
"Quels cours constituent cette filière ?","FORMATION_MATIERES"
"Quels sont les différents modules de cette formation ?","FORMATION_MATIERES"
"Quelles matières sont abordées durant le cursus ?","FORMATION_MATIERES"
"Qu'est-ce qui est enseigné dans cette formation ?","FORMATION_MATIERES"
"Qu'apprend-on comme matières dans cette filière ?","FORMATION_MATIERES"
"Quelles disciplines vais-je étudier ?","FORMATION_MATIERES"
"Quels enseignements vais-je suivre ?","FORMATION_MATIERES"
"Quels cours dois-je suivre dans cette formation ?","FORMATION_MATIERES"
"Quelles sont les matières prévues pendant le parcours ?","FORMATION_MATIERES"
"Quels sont les cours proposés aux étudiants ?","FORMATION_MATIERES"
"Quelles matières sont proposées aux étudiants de cette filière ?","FORMATION_MATIERES"
"Quels enseignements sont disponibles dans cette formation ?","FORMATION_MATIERES"
"Quels modules sont proposés dans cette filière ?","FORMATION_MATIERES"
"Quelles unités d'enseignement composent cette formation ?","FORMATION_MATIERES"
"Quels sont les éléments du programme pédagogique ?","FORMATION_MATIERES"
"Pouvez-vous me donner le contenu des enseignements ?","FORMATION_MATIERES"
"Je voudrais connaître le contenu pédagogique de cette formation.","FORMATION_MATIERES"
"Quel est le contenu des cours de cette filière ?","FORMATION_MATIERES"
"Comment est composé le programme de cette formation ?","FORMATION_MATIERES"
"Comment se répartissent les enseignements de cette filière ?","FORMATION_MATIERES"
"Quelles matières sont étudiées pendant le cursus ?","FORMATION_MATIERES"
"Quels cours retrouve-t-on dans le cursus ?","FORMATION_MATIERES"
"Quelles disciplines sont au programme de cette formation ?","FORMATION_MATIERES"
"Quels enseignements sont au programme de cette filière ?","FORMATION_MATIERES"
"Quels sont les cours principaux de ce cursus ?","FORMATION_MATIERES"
"Quelles matières dois-je étudier dans cette formation ?","FORMATION_MATIERES"
"Qu'est-ce que je vais étudier dans cette filière ?","FORMATION_MATIERES"
"Quelles sont les matières que comprend cette formation ?","FORMATION_MATIERES"
"Quels cours sont dispensés aux étudiants ?","FORMATION_MATIERES"
"Quels modules vais-je retrouver dans cette formation ?","FORMATION_MATIERES"
"Quelles sont les différentes unités d'enseignement ?","FORMATION_MATIERES"
"Je peux avoir le programme des matières ?","FORMATION_MATIERES"
"Je peux voir les matières enseignées ?","FORMATION_MATIERES"
"Vous pouvez me donner les cours de cette filière ?","FORMATION_MATIERES"
"Je voudrais savoir ce qu'on enseigne dans cette formation.","FORMATION_MATIERES"
"Je cherche à connaître le programme de cette filière.","FORMATION_MATIERES"
"Je voudrais connaître les différentes disciplines du cursus.","FORMATION_MATIERES"
"Quelles matières sont enseignées au cours du parcours ?","FORMATION_MATIERES"
"Quels sont les enseignements prévus durant la formation ?","FORMATION_MATIERES"
"Quelles matières sont abordées dans ce cursus ?","FORMATION_MATIERES"
"Quels sujets étudie-t-on dans cette filière ?","FORMATION_MATIERES"
"Quels sont les domaines étudiés dans les cours de cette formation ?","FORMATION_MATIERES"
"Quels enseignements font partie du cursus ?","FORMATION_MATIERES"
"Quelles matières sont prévues pour les étudiants ?","FORMATION_MATIERES"
"Quels cours sont inclus dans le programme ?","FORMATION_MATIERES"
"Quelles matières sont au programme de cette filière ?","FORMATION_MATIERES"
"Quels sont les modules du cursus ?","FORMATION_MATIERES"
"Quel est le détail des enseignements de cette formation ?","FORMATION_MATIERES"
"Pouvez-vous me donner le détail des cours ?","FORMATION_MATIERES"
"Pouvez-vous me montrer les différentes matières du cursus ?","FORMATION_MATIERES"
"Je voudrais consulter le programme d'enseignement.","FORMATION_MATIERES"
"Je souhaite voir les matières qui composent cette filière.","FORMATION_MATIERES"
"Quelles matières vais-je retrouver pendant mes études ?","FORMATION_MATIERES"
"Quels cours vais-je avoir durant cette formation ?","FORMATION_MATIERES"
"Quels enseignements sont prévus dans le parcours ?","FORMATION_MATIERES"
"Quelles sont les matières obligatoires de cette formation ?","FORMATION_MATIERES"
"Quelles sont les matières proposées dans ce cursus ?","FORMATION_MATIERES"
"Quel est le contenu des enseignements de cette filière ?","FORMATION_MATIERES"
"Quels cours sont enseignés dans cette formation ?","FORMATION_MATIERES"
"Quelles disciplines sont couvertes par le programme ?","FORMATION_MATIERES"
"Quels sont les différents enseignements proposés ?","FORMATION_MATIERES"
"Je voudrais savoir quelles matières font partie du programme.","FORMATION_MATIERES"
"Quelles matières étudie-t-on dans cette filière ?","FORMATION_MATIERES"
"Quels cours sont suivis pendant cette formation ?","FORMATION_MATIERES"
"Quelles matières sont dispensées dans cette filière ?","FORMATION_MATIERES"
"Pouvez-vous m'indiquer les modules enseignés ?","FORMATION_MATIERES"
"Pouvez-vous me donner les unités d'enseignement du cursus ?","FORMATION_MATIERES"
"Je veux connaître les cours prévus dans cette formation.","FORMATION_MATIERES"
"Je veux savoir ce qu'on étudie pendant cette filière.","FORMATION_MATIERES"

"J'aime voyager et découvrir de nouveaux endroits, quelle formation pourrait me convenir ?","RECOMMANDATION"
"J'aime voyager, quelle orientation pourrait correspondre à mon profil ?","RECOMMANDATION"
"Je suis passionné par les voyages, vers quelle formation pourrais-je m'orienter ?","RECOMMANDATION"
"J'aime découvrir de nouvelles cultures, quelle formation serait adaptée à mes goûts ?","RECOMMANDATION"
"Je suis attiré par le tourisme et les voyages, quelle formation me conseilleriez-vous ?","RECOMMANDATION"
"J'aime rencontrer des personnes venant de différents pays, quelle formation pourrait me correspondre ?","RECOMMANDATION"
"Je suis sociable et j'aime voyager, quelle formation serait faite pour moi ?","RECOMMANDATION"
"J'aime accueillir et aider les personnes, quelle formation pourrais-je choisir ?","RECOMMANDATION"
"J'aime être en contact avec les gens et découvrir de nouveaux endroits, quelle orientation me conviendrait ?","RECOMMANDATION"
"J'aime voyager et communiquer avec les autres, quelle formation pourrait être adaptée ?","RECOMMANDATION"
"Je suis à l'aise avec les gens et j'aime découvrir de nouvelles cultures, que pourrais-je étudier ?","RECOMMANDATION"
"J'aime organiser des voyages et des activités, quelle formation me conviendrait ?","RECOMMANDATION"
"J'aime préparer des sorties et organiser des activités pour les autres, quelle formation choisir ?","RECOMMANDATION"
"J'aime planifier des voyages, vers quelle formation pourrais-je m'orienter ?","RECOMMANDATION"
"Je suis organisé et j'aime préparer des événements et des activités, quelle formation serait adaptée ?","RECOMMANDATION"
"J'aime accueillir les visiteurs et leur faire découvrir des endroits, quelle formation pourrait me convenir ?","RECOMMANDATION"
"J'aime guider les personnes et leur faire découvrir de nouveaux lieux, quelle formation me conseilleriez-vous ?","RECOMMANDATION"
"J'aime expliquer les choses aux visiteurs, quelle formation pourrait correspondre à mon profil ?","RECOMMANDATION"
"J'aime rencontrer des touristes et échanger avec eux, quelle formation choisir ?","RECOMMANDATION"
"J'aime parler avec des personnes étrangères, quelle orientation pourrait me convenir ?","RECOMMANDATION"
"Je parle facilement avec les gens et j'aime voyager, vers quel domaine devrais-je aller ?","RECOMMANDATION"
"Je suis très sociable et j'aime recevoir des personnes, quelle formation serait adaptée ?","RECOMMANDATION"
"J'aime recevoir et prendre soin des personnes, quelle formation pourrait me correspondre ?","RECOMMANDATION"
"J'aime rendre service aux autres et être au contact du public, quelle formation choisir ?","RECOMMANDATION"
"Je suis accueillant et j'aime être au service des autres, quelle orientation serait adaptée ?","RECOMMANDATION"
"J'aime le contact humain et les environnements dynamiques, quelle formation me conviendrait ?","RECOMMANDATION"
"Je préfère un métier où je rencontre beaucoup de personnes, quelle formation pourrais-je choisir ?","RECOMMANDATION"
"Je n'aime pas rester toujours au même endroit et j'aime découvrir de nouvelles choses, quelle formation me conviendrait ?","RECOMMANDATION"
"J'aime bouger, voyager et rencontrer des personnes, quelle orientation serait adaptée à mon profil ?","RECOMMANDATION"
"Je voudrais une formation qui me permette d'être souvent en contact avec le public, que choisir ?","RECOMMANDATION"
"J'aime la cuisine et je suis également passionné par les voyages, quelle formation pourrait me convenir ?","RECOMMANDATION"
"J'aime cuisiner et découvrir de nouvelles cultures, vers quelle formation pourrais-je m'orienter ?","RECOMMANDATION"
"Je suis passionné par la gastronomie et les voyages, quelle formation me conseillez-vous ?","RECOMMANDATION"
"J'aime découvrir la cuisine d'autres pays, quelle formation pourrait correspondre à mes goûts ?","RECOMMANDATION"
"J'aime manger, découvrir de nouvelles cuisines et voyager, quelle orientation pourrait me convenir ?","RECOMMANDATION"
"Je suis intéressé par la gastronomie et le contact avec les gens, quelle formation choisir ?","RECOMMANDATION"
"J'aime la cuisine, le voyage et la découverte de nouvelles cultures, quelle formation serait adaptée ?","RECOMMANDATION"
"J'aime découvrir les spécialités culinaires de différents pays, quel domaine pourrait me correspondre ?","RECOMMANDATION"
"Je suis curieux des cultures étrangères et de leur cuisine, quelle formation pourrais-je envisager ?","RECOMMANDATION"
"J'aime voyager et découvrir les spécialités locales, quelle formation me conviendrait ?","RECOMMANDATION"
"J'aime organiser des activités pour les autres et j'aime voyager, quelle formation choisir ?","RECOMMANDATION"
"Je suis créatif, sociable et j'aime découvrir de nouveaux endroits, quelle formation pourrait me correspondre ?","RECOMMANDATION"
"Je suis dynamique et j'aime rencontrer de nouvelles personnes, quelle formation serait adaptée à mon profil ?","RECOMMANDATION"
"Je suis souriant, accueillant et j'aime le contact avec les clients, quelle formation pourrais-je choisir ?","RECOMMANDATION"
"Je suis à l'aise avec le public et j'aime découvrir de nouvelles cultures, quelle formation me conviendrait ?","RECOMMANDATION"
"J'aime travailler dans un environnement où les journées sont différentes, quelle formation choisir ?","RECOMMANDATION"
"Je préfère un métier dynamique avec beaucoup de contacts humains, quelle formation me conseilleriez-vous ?","RECOMMANDATION"
"J'aime organiser, accueillir et communiquer avec les autres, quelle formation pourrait me convenir ?","RECOMMANDATION"
"J'aime prendre soin des personnes et leur faire vivre une bonne expérience, quelle formation choisir ?","RECOMMANDATION"
"Je suis attentif aux besoins des autres et j'aime les accueillir, quelle orientation serait adaptée ?","RECOMMANDATION"
"J'aime le service, le contact humain et les environnements animés, quelle formation me correspondrait ?","RECOMMANDATION"
"Je voudrais travailler dans un domaine où je peux rencontrer des personnes différentes chaque jour, quelle formation choisir ?","RECOMMANDATION"
"J'aime découvrir de nouveaux lieux et aider les personnes à passer un bon moment, quelle formation serait adaptée ?","RECOMMANDATION"
"J'aime organiser des séjours et préparer des activités, quelle formation pourrais-je suivre ?","RECOMMANDATION"
"J'aime conseiller les personnes sur les endroits à découvrir, quelle formation me conviendrait ?","RECOMMANDATION"
"J'aime faire découvrir ma région aux autres, quelle orientation pourrait me correspondre ?","RECOMMANDATION"
"J'aime parler de lieux, de cultures et de voyages, quelle formation serait adaptée ?","RECOMMANDATION"
"Je suis passionné par les cultures étrangères et j'aime communiquer, quelle formation choisir ?","RECOMMANDATION"
"J'aime apprendre des langues et voyager, quelle formation pourrait me convenir ?","RECOMMANDATION"
"Je parle plusieurs langues et j'aime rencontrer des étrangers, quelle orientation serait adaptée ?","RECOMMANDATION"
"Je suis à l'aise en langues et j'aime le contact humain, quelle formation me conseilleriez-vous ?","RECOMMANDATION"
"J'aime communiquer en anglais et découvrir d'autres cultures, quelle formation pourrais-je choisir ?","RECOMMANDATION"
"Je suis sociable, à l'aise en langues et attiré par les voyages, quelle formation me correspondrait ?","RECOMMANDATION"
"J'aime les langues, le voyage et les échanges culturels, quelle orientation choisir ?","RECOMMANDATION"
"J'aime recevoir des visiteurs étrangers et communiquer avec eux, quelle formation serait adaptée ?","RECOMMANDATION"
"Je suis intéressé par l'accueil, le voyage et les échanges internationaux, quelle formation me conviendrait ?","RECOMMANDATION"
"J'aime les métiers qui impliquent de voyager et de rencontrer des gens, quelle formation choisir ?","RECOMMANDATION"
"Je cherche une formation qui combine contact humain, voyage et découverte, que me conseillez-vous ?","RECOMMANDATION"
"Quelle formation pourrait convenir à quelqu'un qui aime voyager, communiquer et accueillir ?","RECOMMANDATION"
"Quelle orientation conviendrait à une personne passionnée par les voyages et les cultures étrangères ?","RECOMMANDATION"
"Que conseilleriez-vous à quelqu'un qui aime voyager et rencontrer de nouvelles personnes ?","RECOMMANDATION"
"Que peut-on envisager comme formation quand on aime voyager et découvrir les cultures ?","RECOMMANDATION"
"Quel domaine pourrait convenir à quelqu'un qui aime voyager et être en contact avec le public ?","RECOMMANDATION"
"Quelle formation pourrait convenir à une personne sociable qui aime voyager ?","RECOMMANDATION"
"Quelle orientation serait adaptée à quelqu'un qui aime accueillir et communiquer ?","RECOMMANDATION"
"Que recommanderiez-vous à quelqu'un qui aime organiser des voyages et des activités ?","RECOMMANDATION"
"Quel parcours pourrait convenir à une personne qui aime la gastronomie et les voyages ?","RECOMMANDATION"
"Quelle formation serait adaptée à quelqu'un qui aime la cuisine, le voyage et les cultures étrangères ?","RECOMMANDATION"
"Que conseiller à une personne qui aime la gastronomie et rencontrer de nouvelles personnes ?","RECOMMANDATION"
"Quel domaine correspondrait à quelqu'un qui aime la cuisine et le contact avec les clients ?","RECOMMANDATION"
"Je ne sais pas quoi choisir, mais j'aime voyager et rencontrer des gens, pouvez-vous m'orienter ?","RECOMMANDATION"
"Je ne sais pas quelle formation choisir, j'aime beaucoup voyager et découvrir de nouvelles cultures.","RECOMMANDATION"
"Je cherche une orientation, j'aime les voyages, la cuisine et le contact humain.","RECOMMANDATION"
"Je ne sais pas vers quelle formation aller, mais j'aime organiser et accueillir.","RECOMMANDATION"
"Je cherche une formation qui corresponde à mon goût pour les voyages et les échanges avec les autres.","RECOMMANDATION"
"Je voudrais trouver une formation en rapport avec mon intérêt pour les voyages.","RECOMMANDATION"
"Je voudrais trouver une orientation qui corresponde à mon intérêt pour la gastronomie et les voyages.","RECOMMANDATION"
"Mon profil est plutôt sociable et j'aime beaucoup voyager, quelle formation choisir ?","RECOMMANDATION"
"Je suis curieux, sociable et passionné par les cultures étrangères, quelle formation me conviendrait ?","RECOMMANDATION"
"Je suis dynamique, j'aime voyager et j'aime aider les gens, quelle formation pourrais-je choisir ?","RECOMMANDATION"
"Je suis organisé, sociable et j'aime préparer des activités, quelle orientation me conseilleriez-vous ?","RECOMMANDATION"
"J'aime communiquer, accueillir et découvrir de nouveaux endroits, quel parcours pourrait me convenir ?","RECOMMANDATION"
"J'aime les voyages, les rencontres et la découverte, quelle formation serait faite pour moi ?","RECOMMANDATION"
"J'aime les nouvelles expériences et les échanges avec les autres, quelle orientation pourrait me convenir ?","RECOMMANDATION"
"J'aime découvrir de nouveaux endroits et raconter ce que j'ai découvert, quelle formation choisir ?","RECOMMANDATION"
"J'aime faire découvrir des endroits aux autres, quelle formation pourrait me correspondre ?","RECOMMANDATION"
"J'aime organiser des expériences pour les autres, quelle orientation pourrais-je envisager ?","RECOMMANDATION"

"Je ne sais pas quelle filière choisir","RECOMMANDATION"
"Je ne sais vraiment pas vers quoi m'orienter","RECOMMANDATION"
"Vous pouvez m'aider à trouver une filière adaptée à mon profil ?","RECOMMANDATION"
"Je suis complètement indécis sur mon orientation","RECOMMANDATION"
"Je ne sais pas encore ce que je veux faire après le bac","RECOMMANDATION"
"Quelle orientation pourrait me correspondre ?","RECOMMANDATION"
"Je cherche une filière qui me ressemble","RECOMMANDATION"
"J'aimerais trouver une formation adaptée à mes capacités","RECOMMANDATION"
"Je suis sociable et j'aime travailler avec les autres, que me conseillez-vous ?","RECOMMANDATION"
"J'aime aider les gens et communiquer, quelle filière pourrais-je choisir ?","RECOMMANDATION"
"Je suis plutôt réservé mais j'aime analyser les problèmes, quelle orientation serait adaptée ?","RECOMMANDATION"
"Je suis organisé et j'aime planifier les choses, vers quelle filière pourrais-je aller ?","RECOMMANDATION"
"Je suis créatif et j'aime imaginer de nouvelles choses, quelle orientation me conviendrait ?","RECOMMANDATION"
"Je suis très patient et minutieux, quelle filière pourrait me correspondre ?","RECOMMANDATION"
"J'aime travailler en équipe mais je suis aussi assez autonome, que pourriez-vous me conseiller ?","RECOMMANDATION"
"Je préfère travailler seul et j'aime les tâches qui demandent de la concentration, quelle filière choisir ?","RECOMMANDATION"
"Je suis bon en maths, quelle filière pourrait me convenir ?","RECOMMANDATION"
"Je suis plutôt bon en physique, vers quelle formation devrais-je m'orienter ?","RECOMMANDATION"
"J'aime beaucoup la chimie, quelle filière pourrais-je envisager ?","RECOMMANDATION"
"Je préfère la biologie aux mathématiques, quelle orientation serait adaptée ?","RECOMMANDATION"
"Je suis bon en français et en histoire, qu'est-ce qui pourrait me convenir ?","RECOMMANDATION"
"J'aime les langues étrangères, quelle filière pourrais-je choisir ?","RECOMMANDATION"
"Je suis à l'aise en informatique et en maths, que me conseillez-vous ?","RECOMMANDATION"
"J'aime les chiffres mais aussi le contact avec les gens, quelle orientation choisir ?","RECOMMANDATION"
"J'aime l'informatique mais je ne sais pas quelle filière prendre","RECOMMANDATION"
"Je suis bon en maths et j'aime résoudre des problèmes complexes","RECOMMANDATION"
"J'aime la chimie et faire des expériences pratiques, quelle formation me conviendrait ?","RECOMMANDATION"
"Je suis bon en français mais pas vraiment en maths, quelle filière pourrait me convenir ?","RECOMMANDATION"
"J'aime dessiner et concevoir des choses, vers quelle orientation aller ?","RECOMMANDATION"
"J'aime construire des choses et travailler avec mes mains, que me conseillez-vous ?","RECOMMANDATION"
"Je préfère les activités pratiques aux cours théoriques, quelle filière choisir ?","RECOMMANDATION"
"J'aime analyser des données et chercher des solutions, quelle orientation serait adaptée ?","RECOMMANDATION"
"Je suis logique et méthodique, quelle formation pourrait me correspondre ?","RECOMMANDATION"
"Je suis créatif mais j'aime aussi résoudre des problèmes, que pourrais-je faire ?","RECOMMANDATION"
"J'aime communiquer, convaincre et argumenter, quelle filière choisir ?","RECOMMANDATION"
"J'aime lire, écrire et défendre mes idées, quelle orientation me conseillez-vous ?","RECOMMANDATION"
"J'aime comprendre comment fonctionnent les choses, vers quel domaine devrais-je aller ?","RECOMMANDATION"
"Je m'intéresse aux entreprises et à leur fonctionnement, quelle formation choisir ?","RECOMMANDATION"
"J'aime organiser des activités et prendre des responsabilités, que me conseillez-vous ?","RECOMMANDATION"
"Je suis intéressé par les sciences mais je ne sais pas laquelle choisir","RECOMMANDATION"
"J'aime les sciences et le travail pratique, quelle orientation pourrait me convenir ?","RECOMMANDATION"
"Je suis à l'aise avec les ordinateurs, les chiffres et l'analyse","RECOMMANDATION"
"J'aime travailler avec des personnes et résoudre leurs problèmes, quelle filière choisir ?","RECOMMANDATION"
"Je suis sociable mais je préfère éviter les matières très scientifiques, que pourrais-je faire ?","RECOMMANDATION"
"J'aime les maths mais je préfère travailler avec des personnes plutôt qu'avec des machines","RECOMMANDATION"
"Je suis bon en sciences et j'aime manipuler, quelle orientation serait intéressante ?","RECOMMANDATION"
"J'aime la technologie mais je préfère les aspects créatifs","RECOMMANDATION"
"Je suis rigoureux, patient et j'aime travailler avec précision, quelle filière choisir ?","RECOMMANDATION"
"J'aime réfléchir avant d'agir et résoudre des problèmes, quelle formation me conviendrait ?","RECOMMANDATION"
"Je suis dynamique, sociable et j'aime prendre des initiatives, que me conseillez-vous ?","RECOMMANDATION"
"Je suis autonome, curieux et j'aime apprendre par moi-même, quelle orientation choisir ?","RECOMMANDATION"
"J'aime travailler sur ordinateur mais je ne veux pas forcément devenir informaticien, quelles possibilités ai-je ?","RECOMMANDATION"
