Horodateur;Vous êtes actuellement :;Quelle était votre série au Baccalauréat ?;Quelles étaient vos matières préférées au lycée ?;Dans quelles matières vous étiez doués?;Dans quelles activités pensez-vous être naturellement à l'aise ?;Parmi les activités suivantes, lesquelles vous attirent le plus ?;Quel type de problème aimez-vous le plus résoudre ?;Quel type d'activité pédagogique vous attire le plus ?;Aimez-vous plutôt la pratique ou les leçons (théorie) ?;Quel rythme de travail vous correspond le mieux ?;Dans quel environnement aimeriez-vous travailler ?;Quels sont vos domaines d'intérêt principaux ? (Ex: programmation, musique, voyage, dessins, chimie, ...) Mentionnez-en plusieurs si vous en avez;Préférez-vous travailler principalement ?;Qu'est-ce qui est le plus important pour vous dans le choix d'une formation ?;Avez-vous étudié ou étudiez-vous à l'ISPM ?;Si oui, quelle est / a été votre filière (mention) à l'ISPM ?;Si vous êtes diplômé(e) / professionnel(le), quel est votre métier actuel ?;Si vous êtes diplômés, avec le recul, quel est votre niveau de satisfaction concernant l'adéquation entre votre formation et votre métier ?
2026-08-27 21:13:24.000000;Étudiant(e);Autre;Français / Langues, Histoire / Géographie, Informatique;Français / Langues, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes, Analyser des informations;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Vendre, négocier ou développer une activité commerciale;Problèmes liés à l'environnement, Problèmes économiques et financiers;Réaliser un projet, Faire des travaux pratiques, Réaliser des expériences, Résoudre des exercices, Faire des présentations / exposés;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Centre de recherche;robotique, sport;En grande équipe;Faire quelque chose que j'aime, Créer ma propre entreprise, Avoir un salaire intéressant, Utiliser mes matières préférées;Non;;;
2026-08-22 11:35:58.000000;Professionnel(le) diplômé(e) / Actif(ve);Série A1 /Série A2;Français / Langues, Histoire / Géographie;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Développer des logiciels ou utiliser des technologies numériques;Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation, Problèmes juridiques et réglementaires;Participer à des simulations ou études de cas, Faire des présentations / exposés, Faire des recherches documentaires;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Entreprise / organisation;dessin, architecture, environnement, entrepreneuriat;Seul(e);Avoir un métier stable, Travailler dans mon domaine de passion;Non;;Agent de développement durable;5
2026-08-23 21:04:13.000000;Professionnel(le) diplômé(e) / Actif(ve);Autre;Histoire / Géographie, Français / Langues;Français / Langues, Histoire / Géographie, Chimie, Gestion / Comptabilité;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Cuisiner et découvrir la gastronomie;Problèmes liés à l'environnement, Problèmes économiques et financiers;Faire des sorties / visites de terrain, Faire des recherches documentaires, Résoudre des exercices, Participer à des simulations ou études de cas, Réaliser un projet;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Milieu rural;marketing;Avec beaucoup de contacts avec des clients / utilisateurs;Faire quelque chose que j'aime, Utiliser mes matières préférées, Travailler dans mon domaine de passion, Utiliser mes points forts, Résoudre des problèmes;Non;;Développeur web;3
2026-08-22 18:08:33.000000;Professionnel(le) diplômé(e) / Actif(ve);Série Technique;Physique, Technologie / Sciences industrielles;Technologie / Sciences industrielles, Mathématiques, Physique, Sciences de la vie / Biologie;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Organiser;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures;Problèmes techniques et industriels, Problèmes liés à la construction et aux infrastructures;Faire des travaux pratiques, Résoudre des exercices;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Établissement de santé / pharmaceutique;cuisine;En binôme;Résoudre des problèmes, Avoir un métier stable, Utiliser mes matières préférées;Oui;ESIIA : Electronique Système Informatique et Intelligence Artificielle;Consultant;4
2026-08-23 22:48:03.000000;Professionnel(le) diplômé(e) / Actif(ve);Série C;Chimie, Mathématiques, Informatique;Mathématiques, Physique, Chimie, Économie, Gestion / Comptabilité;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Communiquer et travailler avec des personnes, Concevoir et construire des objets ou infrastructures;Problèmes scientifiques et expérimentaux, Problèmes mathématiques et logiques, Problèmes techniques et industriels;Participer à des simulations ou études de cas, Résoudre des exercices, Réaliser un projet;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Laboratoire;programmation, échecs;Avec beaucoup de contacts avec des partenaires;Travailler avec des technologies, Faire de la recherche, Résoudre des problèmes, Être utile à la société;Non;;Chercheur;5
2026-08-29 10:53:39.000000;Professionnel(le) diplômé(e) / Actif(ve);Série C;Mathématiques, Physique, Technologie / Sciences industrielles;Mathématiques, Physique, Chimie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Organiser et coordonner des projets;Problèmes mathématiques et logiques, Problèmes scientifiques et expérimentaux;Faire des recherches documentaires, Faire des sorties / visites de terrain, Résoudre des exercices;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Commerce / magasin;bricolage, marketing, finance;Avec beaucoup de contacts avec des partenaires;Avoir la possibilité de travailler à l'étranger, Travailler dans un domaine scientifique;Non;;Biochimiste;1
2026-08-30 02:52:06.000000;Étudiant(e);Série C;Mathématiques, Physique, Chimie, Technologie / Sciences industrielles;Mathématiques, Physique, Chimie, Arts / Design;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Travailler avec des personnes;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Travailler dans le tourisme, Organiser et coordonner des projets;Problèmes mathématiques et logiques, Problèmes techniques et industriels;Faire des travaux pratiques, Faire des recherches documentaires, Participer à des simulations ou études de cas;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Commerce / magasin;mode;En binôme;Avoir de bonnes opportunités d'emploi, Utiliser mes points forts, Faire quelque chose que j'aime, Travailler avec des technologies, Être utile à la société;Oui;ISAIA : Informatique Statistique Appliquée et Intelligence Artificielle;;
2026-08-25 10:15:20.000000;Étudiant(e);Série L;Français / Langues, Histoire / Géographie;Français / Langues, Histoire / Géographie, Philosophie, Économie, Gestion / Comptabilité;Rédiger, Argumenter, Mémoriser, Observer, Programmer, Travailler avec des personnes;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Observer et comprendre des phénomènes scientifiques, Faire des calculs et résoudre des problèmes mathématiques;Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation;Résoudre des exercices, Réaliser des expériences, Faire des recherches documentaires, Réaliser un projet;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Milieu rural;photographie, lecture, cuisine;Seul(e);Pouvoir évoluer professionnellement, Faire de la recherche, Travailler avec des personnes, Être utile à la société;Non;;;
2026-08-21 18:29:50.000000;Étudiant(e);Série C;Mathématiques, Physique, Chimie, Technologie / Sciences industrielles;Mathématiques, Physique, Chimie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Observer;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Étudier des lois, règles et réglementations, Faire de la recherche scientifique;Problèmes scientifiques et expérimentaux, Je ne sais pas encore;Faire des recherches documentaires, Travailler en groupe;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Terrain agricole;animaux;En petite équipe;Faire de la recherche, Avoir un salaire intéressant;Oui;ESIIA : Electronique Système Informatique et Intelligence Artificielle;;
2026-08-24 05:41:31.000000;Étudiant(e);Série C;Mathématiques, Physique, Chimie, Informatique;Mathématiques, Physique, Chimie, Informatique, Technologie / Sciences industrielles;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Rédiger, Mémoriser;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques;Problèmes techniques et industriels, Problèmes scientifiques et expérimentaux, Problèmes mathématiques et logiques;Participer à des simulations ou études de cas, Réaliser des expériences, Réaliser un projet, Faire des travaux pratiques;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Établissement de santé / pharmaceutique;architecture, histoire, animaux, chant;En petite équipe;Pouvoir évoluer professionnellement, Travailler avec des personnes, Avoir un métier stable;Non;;;
2026-08-25 19:30:47.000000;Étudiant(e);Série L;Français / Langues, Histoire / Géographie, Philosophie, Gestion / Comptabilité;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer, Travailler avec des personnes;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation;Résoudre des exercices, Travailler en groupe;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Établissement de santé / pharmaceutique;architecture, peinture, astronomie;En binôme;Résoudre des problèmes, Pouvoir évoluer professionnellement;Oui;FIC : Finances et Comptabilités;;
2026-08-22 19:47:29.000000;Professionnel(le) diplômé(e) / Actif(ve);Série A1 /Série A2;Français / Langues, Philosophie, Histoire / Géographie, Économie;Français / Langues, Histoire / Géographie, Philosophie, Sciences de la vie / Biologie;Rédiger, Argumenter, Mémoriser, Observer, Dessiner / concevoir, Diriger une équipe;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Créer et concevoir des contenus, Concevoir et construire des objets ou infrastructures;Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation;Participer à des simulations ou études de cas, Réaliser des expériences, Travailler en groupe;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Entreprise / organisation;économie;Avec beaucoup de contacts avec des partenaires;Résoudre des problèmes, Travailler dans mon domaine de passion, Faire de la recherche;Oui;CAA : Commerce et Administration des Affaires;Ingénieur industriel;2
2026-08-23 12:14:18.000000;Professionnel(le) diplômé(e) / Actif(ve);Série C;Chimie, Physique, Mathématiques, Technologie / Sciences industrielles;Mathématiques, Physique, Chimie, Gestion / Comptabilité, Technologie / Sciences industrielles;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Organiser;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques;Problèmes scientifiques et expérimentaux, Problèmes mathématiques et logiques, Problèmes techniques et industriels;Réaliser un projet, Participer à des simulations ou études de cas;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Bureau / administration;robotique;Cela m'est égal;Travailler avec des technologies, Avoir un métier stable, Travailler dans mon domaine de passion, Utiliser mes matières préférées;Non;;Avocat;5
2026-08-30 21:37:10.000000;Étudiant(e);Série L;Français / Langues, Philosophie, Histoire / Géographie;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer, Expérimenter;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes liés à la gestion d'une organisation, Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce;Faire des présentations / exposés, Faire des recherches documentaires, Faire des travaux pratiques;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Tribunal / administration juridique;design, théâtre;Cela m'est égal;Utiliser mes matières préférées, Avoir la possibilité de travailler à l'étranger, Créer ma propre entreprise, Pouvoir évoluer professionnellement;Oui;EMP : Economie et Management de Projet;;
2026-08-30 05:54:32.000000;Étudiant(e);Série D;Sciences de la vie / Biologie, Chimie, Physique, Français / Langues;Sciences de la vie / Biologie, Chimie, Mathématiques, Philosophie;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations, Programmer, Mémoriser;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques, Développer des logiciels ou utiliser des technologies numériques, Étudier les propriétés des substances et des matériaux;Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes liés à l'agriculture et à l'élevage, Problèmes scientifiques et expérimentaux;Réaliser des expériences, Réaliser un projet, Faire des travaux pratiques, Faire des présentations / exposés;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Tribunal / administration juridique;mathématiques, cinéma;Avec beaucoup de contacts avec des clients / utilisateurs;Avoir un métier stable, Travailler avec des technologies, Être utile à la société;Non;;;
2026-08-21 01:52:54.000000;Professionnel(le) diplômé(e) / Actif(ve);Série OSE;Sciences de la vie / Biologie, Histoire / Géographie, Français / Langues, Économie;Sciences de la vie / Biologie, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes, Rédiger, Résoudre des problèmes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Développer des logiciels ou utiliser des technologies numériques;Problèmes liés à l'environnement, Problèmes économiques et financiers;Travailler en groupe, Faire des travaux pratiques, Faire des recherches documentaires;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Établissement de santé / pharmaceutique;écriture, lecture, cuisine, jardinage;Avec beaucoup de contacts avec des partenaires;Résoudre des problèmes, Créer ma propre entreprise, Avoir de bonnes opportunités d'emploi;Oui;CAA : Commerce et Administration des Affaires;Analyste financier;3
2026-08-27 12:44:54.000000;Professionnel(le) diplômé(e) / Actif(ve);Série L;Philosophie, Histoire / Géographie;Français / Langues, Histoire / Géographie, Philosophie, Chimie;Rédiger, Argumenter, Mémoriser, Observer, Calculer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Étudier le vivant, les plantes ou les animaux, Étudier les propriétés des substances et des matériaux;Problèmes liés à la communication et au commerce, Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation;Faire des sorties / visites de terrain, Faire des travaux pratiques;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Laboratoire;sport;En binôme;Avoir un métier stable, Avoir la possibilité de travailler à l'étranger, Travailler avec des technologies, Travailler avec des personnes, Être utile à la société;Non;;Développeur web;1
2026-08-30 17:10:36.000000;Étudiant(e);Série OSE;Français / Langues, Sciences de la vie / Biologie;Sciences de la vie / Biologie, Histoire / Géographie, Technologie / Sciences industrielles;Organiser, Communiquer, Travailler avec des personnes, Argumenter, Mémoriser;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Étudier le vivant, les plantes ou les animaux;Problèmes économiques et financiers, Problèmes liés à l'environnement;Résoudre des exercices, Faire des présentations / exposés, Réaliser un projet;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Usine / environnement industriel;photographie, économie, cinéma;Avec beaucoup de contacts avec des partenaires;Résoudre des problèmes, Créer ma propre entreprise, Faire quelque chose que j'aime, Avoir la possibilité de travailler à l'étranger;Non;;;
2026-08-24 02:23:24.000000;Étudiant(e);Série S;Physique, Chimie, Technologie / Sciences industrielles;Mathématiques, Physique, Chimie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques;Problèmes scientifiques et expérimentaux, Problèmes mathématiques et logiques;Participer à des simulations ou études de cas, Faire des recherches documentaires, Faire des sorties / visites de terrain;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Établissement de santé / pharmaceutique;dessin;En petite équipe;Utiliser mes matières préférées, Créer ma propre entreprise, Travailler avec des personnes, Être utile à la société;Non;;;
2026-08-25 12:10:03.000000;Étudiant(e);Autre;Histoire / Géographie, Français / Langues, Informatique;Français / Langues, Histoire / Géographie, Mathématiques, Philosophie;Organiser, Communiquer, Travailler avec des personnes, Rédiger, Diriger une équipe;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes liés à l'environnement, Je ne sais pas encore, Problèmes économiques et financiers;Réaliser des expériences, Faire des travaux pratiques, Réaliser un projet, Faire des recherches documentaires;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Milieu rural;lecture, entrepreneuriat;Cela m'est égal;Travailler avec des personnes, Utiliser mes points forts;Oui;CAA : Commerce et Administration des Affaires;;
2026-08-28 06:20:41.000000;Étudiant(e);Série OSE;Français / Langues, Histoire / Géographie, Sciences de la vie / Biologie;Sciences de la vie / Biologie, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes économiques et financiers, Problèmes liés à l'environnement;Travailler en groupe, Faire des travaux pratiques, Participer à des simulations ou études de cas, Faire des présentations / exposés, Faire des sorties / visites de terrain;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Tribunal / administration juridique;animaux, économie, géopolitique;En binôme;Faire de la recherche, Travailler dans mon domaine de passion, Utiliser mes points forts, Travailler avec des personnes, Créer ma propre entreprise;Oui;CAA : Commerce et Administration des Affaires;;
2026-08-20 10:49:28.000000;Étudiant(e);Série C;Mathématiques, Physique;Mathématiques, Physique, Chimie, Histoire / Géographie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques;Je ne sais pas encore, Problèmes scientifiques et expérimentaux;Réaliser un projet, Faire des présentations / exposés, Faire des sorties / visites de terrain, Participer à des simulations ou études de cas;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Je ne sais pas encore;musique;Avec beaucoup de contacts avec des partenaires;Résoudre des problèmes, Travailler dans un domaine scientifique, Travailler avec des personnes, Utiliser mes matières préférées, Avoir un salaire intéressant;Oui;ESIIA : Electronique Système Informatique et Intelligence Artificielle;;
2026-08-27 07:28:34.000000;Professionnel(le) diplômé(e) / Actif(ve);Série D;Physique, Sciences de la vie / Biologie;Sciences de la vie / Biologie, Chimie, Mathématiques, Français / Langues;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations, Dessiner / concevoir;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques, Gérer une entreprise ou une organisation, Vendre, négocier ou développer une activité commerciale;Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes liés à l'agriculture et à l'élevage;Participer à des simulations ou études de cas, Faire des présentations / exposés;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Bureau / administration;peinture, chant;En petite équipe;Être utile à la société, Pouvoir évoluer professionnellement, Utiliser mes points forts;Non;;Ingénieur civil;4
2026-08-23 04:53:09.000000;Étudiant(e);Série S;Physique, Mathématiques, Informatique;Mathématiques, Physique, Chimie, Gestion / Comptabilité;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Comprendre et utiliser des machines;Problèmes mathématiques et logiques, Problèmes techniques et industriels, Problèmes scientifiques et expérimentaux;Travailler en groupe, Réaliser un projet, Faire des recherches documentaires, Faire des sorties / visites de terrain, Faire des travaux pratiques;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Environnement informatique / numérique;bricolage, chant, sport;Seul(e);Utiliser mes matières préférées, Avoir la possibilité de travailler à l'étranger, Être utile à la société, Avoir un métier stable;Oui;IGGLIA : Informatique de Gestion Génie Logiciel et Intelligence Artificielle;;
