Horodateur,Vous êtes actuellement :,Quelle était votre série au Baccalauréat ?,Quelles étaient vos matières préférées au lycée ?,Dans quelles matières vous étiez doués?,Dans quelles activités pensez-vous être naturellement à l'aise ?,"Parmi les activités suivantes, lesquelles vous attirent le plus ?",Quel type de problème aimez-vous le plus résoudre ?,Quel type d'activité pédagogique vous attire le plus ?,Aimez-vous plutôt la pratique ou les leçons (théorie) ?,Quel rythme de travail vous correspond le mieux ?,Dans quel environnement aimeriez-vous travailler ?,Quels sont vos domaines d'intérêt principaux ?,Préférez-vous travailler principalement,Qu'est-ce qui est le plus important pour vous dans le choix d'une formation ?,"si vous devenez etudiant à l'ISPM, quel filière choisiriez vous?","Si vous êtes diplômé(e) / professionnel(le), quel est votre métier actuel ?","Si vous êtes diplômés, avec le recul, quel est votre niveau de satisfaction concernant l'adéquation entre votre formation et votre métier ?"
2026-08-06 15:53:00,Étudiant(e),S,Physique; Anglais; Informatique,Informatique; Mathématiques,Utiliser des outils informatiques; Résoudre des problèmes logiques,Créer des applications; Analyser des données; Programmer,Problèmes logiques et techniques,Projets pratiques,Pratique et théorie,Intensif et régulier,Télétravail,Intelligence artificielle; Robotique; Technologie,Seul ou en petite équipe,Développer des compétences professionnelles,ESIIA,Développeur,3.0
2026-08-14 14:01:50,Étudiant(e),S,Informatique; Anglais,Mathématiques; Informatique,Résoudre des problèmes logiques; Analyser des informations; Travailler avec des données,Analyser des données; Créer des applications,Problèmes logiques et techniques,Projets pratiques; Programmation,Pratique et théorie,Régulier,Télétravail; Startup,Technologie; Intelligence artificielle; Programmation,Seul ou en petite équipe,Travailler dans un secteur innovant,IMTICIA,Ingénieur IA,5.0
2026-08-20 08:12:41,Étudiant(e),S,Physique; Mathématiques; Anglais,Informatique,Utiliser des outils informatiques; Résoudre des problèmes logiques; Analyser des informations; Travailler avec des données,Analyser des données; Automatiser des tâches; Créer des applications,Problèmes logiques et techniques,Projets pratiques,Pratique et théorie,Régulier,Startup,Data; Robotique; Intelligence artificielle; Programmation,Seul ou en petite équipe,Développer des compétences professionnelles,ISAIA,Analyste cyber-sécurité,2.0
2026-08-06 17:22:24,Professionnel(le),A1,Français; Économie; Gestion,Économie; Mathématiques,Analyser des données; Planifier; Calculer,Planifier; Gérer un projet,Problèmes économiques et organisationnels,Études de cas,Pratique,Régulier,Bureau; Entreprise,Management; Entrepreneuriat,Seul ou en équipe,Les perspectives de carrière,EMP,Gestionnaire,3.0
2026-07-29 10:55:23,Professionnel(le),S,Physique; Chimie; SVT,SVT; Chimie,Expérimenter; Observer; Analyser; Manipuler des outils ou équipements,Faire des expériences; Mesurer,Problèmes scientifiques et expérimentaux,Expériences,Pratique,Régulier,Industrie; Laboratoire,Industrie; Chimie,Seul ou en équipe,Acquérir une formation solide,IAA,Chercheur,3.0
2026-08-06 09:24:21,Professionnel(le),S,Informatique; Anglais,Informatique; Mathématiques,Utiliser des outils informatiques; Résoudre des problèmes logiques,Analyser des données; Créer des applications; Programmer,Problèmes logiques et techniques,Programmation; Projets pratiques,Pratique et théorie,Intensif et régulier,Startup; Bureau,Technologie; Data,Seul ou en petite équipe,Développer des compétences professionnelles,IMTICIA,Développeur full-stack,3.0
2026-08-15 08:10:52,Étudiant(e),G,Mathématiques; Économie,Français,Analyser; Organiser; Communiquer,Analyser un marché; Négocier; Communiquer,Problèmes commerciaux,Études de cas,Pratique,Intensif,Agence,Commerce; Vente; Entrepreneuriat,En équipe,Les débouchés professionnels,TEE,Community manager,5.0
2026-07-13 07:27:40,Étudiant(e),S,Mathématiques; Gestion; Économie,Mathématiques,Calculer; Être rigoureux; Organiser; Analyser des données,Faire des calculs; Analyser des données; Analyser des comptes; Gérer,Problèmes financiers,Études de cas,Pratique et théorie,Intensif et régulier,Banque; Entreprise,Gestion; Banque,Seul ou en équipe,La stabilité professionnelle,ISAIA,Chef de projet,5.0
2026-07-21 11:22:14,Étudiant(e),D,Chimie; Mathématiques; Physique,Physique; SVT,Expérimenter; Résoudre des problèmes; Analyser; Observer,Faire des expériences; Rechercher; Analyser,Problèmes scientifiques,Recherche; Expériences,Pratique et théorie,Intensif et régulier,Centre de recherche; Industrie,Recherche; Technologie,Seul ou en équipe,Acquérir une formation solide,ESIIA,Développeur full-stack,4.0
2026-07-27 08:13:19,Étudiant(e),G,Mathématiques; Gestion,Gestion,Calculer; Organiser; Analyser des données; Planifier,Planifier; Analyser un marché; Gérer un projet; Organiser,Problèmes économiques et organisationnels,Études de cas,Pratique et théorie,Régulier,Administration,Entrepreneuriat; Management; Gestion,En équipe,Les perspectives de carrière,EMP,Responsable communication,1.0
2026-07-20 15:24:16,Étudiant(e),G,Économie; Gestion,Économie; Mathématiques,Organiser; Être rigoureux; Analyser des données,Analyser des comptes; Gérer,Problèmes financiers,Exercices; Études de cas,Théorie et pratique,Régulier,Bureau; Banque,Comptabilité; Gestion; Audit,Seul,La stabilité professionnelle,FIC,Contrôleur de gestion,2.0
2026-08-17 13:06:05,Étudiant(e),G,Français; Anglais; Histoire,Anglais; Français,Communiquer; Créer,Créer du contenu; Communiquer,Problèmes de communication,Travaux de groupe,Pratique,Dynamique,Entreprise; Média,Médias; Publicité; Marketing,En équipe,La possibilité d'évoluer professionnellement,TEH,Responsable marketing,5.0
2026-08-05 16:58:26,Étudiant(e),G,Histoire; Français; Anglais,Anglais; Français,Créer; Communiquer; Rédiger; Présenter,Organiser des événements; Créer du contenu,Problèmes de communication,Présentations,Pratique,Dynamique,Média,Marketing; Événementiel; Publicité,En équipe,La possibilité d'évoluer professionnellement,TEE,Chargé marketing,2.0
2026-07-07 14:53:27,Étudiant(e),C,Mathématiques; Chimie,SVT; Mathématiques,Observer; Analyser; Expérimenter,Rechercher; Concevoir,Problèmes scientifiques,Expériences; Travaux pratiques,Pratique et théorie,Régulier,Centre de recherche; Laboratoire,Sciences; Environnement; Recherche; Technologie,En équipe,Acquérir une formation solide,GCA,Chercheur,3.0
2026-07-31 08:04:54,Étudiant(e),C,Mathématiques; Physique; Chimie,Physique,Résoudre des problèmes; Expérimenter; Observer,Concevoir; Faire des expériences; Analyser,Problèmes scientifiques,Expériences,Pratique et théorie,Intensif et régulier,Laboratoire,Sciences; Recherche,Seul ou en équipe,Acquérir une formation solide,IMTICIA,Assistant de recherche,2.0
2026-07-21 12:59:27,Professionnel(le),S,Français; Mathématiques; Économie,Mathématiques; Gestion,Organiser; Calculer,Organiser; Analyser un marché; Gérer un projet; Planifier,Problèmes économiques et organisationnels,Exercices pratiques,Pratique,Dynamique,Bureau,Gestion; Entrepreneuriat; Économie; Management,En équipe,Les perspectives de carrière,GCA,Manager,4.0
2026-08-21 15:11:08,Professionnel(le),A1,Anglais; Histoire,Français,Présenter; Rédiger,Créer du contenu; Communiquer; Organiser des événements; Présenter,Problèmes de communication,Présentations; Travaux de groupe,Pratique et théorie,Dynamique,Agence; Entreprise,Événementiel; Médias; Publicité; Marketing,En équipe,La possibilité d'évoluer professionnellement,TEH,Responsable communication,3.0
2026-07-15 09:37:20,Professionnel(le),A1,Histoire; Français,Français,Communiquer; Présenter,Organiser des événements; Présenter,Problèmes de communication,Travaux de groupe,Pratique et théorie,Intensif et régulier,Studio; Agence,Publicité; Médias,En équipe,Développer son réseau professionnel,TEE,Chargé de communication,5.0
2026-08-18 17:47:06,Étudiant(e),G,Mathématiques; Gestion; Économie,Mathématiques; Économie,Organiser; Calculer,Analyser des comptes; Analyser des données; Faire des calculs; Gérer,Problèmes financiers,Exercices,Pratique et théorie,Régulier,Banque,Gestion; Finance; Audit,Seul,Les perspectives de carrière,FIC,Data analyst,3.0
2026-08-22 08:29:03,Professionnel(le),S,Anglais; Physique; Mathématiques,Mathématiques; Informatique,Analyser des informations; Utiliser des outils informatiques; Résoudre des problèmes logiques,Créer des applications; Analyser des données; Programmer,Problèmes logiques et techniques,Travaux dirigés; Projets pratiques,Pratique,Intensif et régulier,Entreprise; Startup,Intelligence artificielle; Technologie; Robotique; Programmation,En équipe,Travailler dans un secteur innovant,IGGLIA,Développeur full-stack,4.0
2026-07-24 17:12:11,Étudiant(e),A2,Français; Histoire; Anglais,Français; Anglais,Créer; Communiquer; Rédiger; Présenter,Communiquer; Créer du contenu; Présenter; Organiser des événements,Problèmes de communication,Travaux de groupe; Présentations,Pratique,Intensif et régulier,Agence,Marketing; Publicité; Médias; Événementiel,En équipe,Développer son réseau professionnel,AEE,Spécialiste en développement rural,3.0
2026-07-22 14:07:46,Étudiant(e),A1,Anglais; Français,Philosophie; Français,Argumenter; Analyser des textes; Rédiger,Débattre; Faire des recherches; Lire des documents,Problèmes juridiques et sociaux,Lectures,Théorie,Calme et régulier,Tribunal,Administration; Droits humains,Seul ou en équipe,Aimer le domaine étudié,DTJA,Juriste,4.0
2026-07-05 10:42:17,Étudiant(e),A1,Économie; Français,Économie; Français,Communiquer; Analyser,Négocier; Faire du commerce; Communiquer,Problèmes commerciaux,Projets,Pratique et théorie,Dynamique,Agence,Commerce; Marketing; Vente; Entrepreneuriat,En équipe,Créer mon entreprise,CAA,Business developer,1.0
2026-08-05 13:58:29,Étudiant(e),G,Mathématiques; Gestion,Économie; Mathématiques,Calculer; Analyser des données; Être rigoureux; Organiser,Analyser des comptes; Gérer,Problèmes financiers,Études de cas; Exercices,Théorie et pratique,Intensif et régulier,Entreprise; Bureau,Comptabilité; Finance,Seul ou en équipe,Les perspectives de carrière,FIC,Contrôleur de gestion,5.0
2026-07-14 14:24:31,Étudiant(e),S,Mathématiques; Physique; Chimie,Physique,Observer; Résoudre des problèmes; Expérimenter,Analyser; Faire des expériences,Problèmes scientifiques,Recherche,Pratique et théorie,Intensif et régulier,Industrie; Centre de recherche,Environnement; Sciences,Seul ou en équipe,Acquérir une formation solide,IMTICIA,Chef de projet,2.0
2026-08-05 11:31:51,Étudiant(e),D,SVT; Chimie; Mathématiques,Physique; Chimie,Manipuler des outils ou équipements; Observer; Analyser; Expérimenter,Mesurer; Analyser des substances; Faire des expériences; Rechercher,Problèmes scientifiques et expérimentaux,Laboratoire; Travaux pratiques,Pratique et théorie,Régulier,Laboratoire,Environnement; Laboratoire; Recherche; Industrie,Seul ou en équipe,Aimer le domaine étudié,PIP,Technicien qualité,1.0
2026-08-25 11:35:06,Étudiant(e),C,SVT; Chimie; Physique,SVT; Physique,Expérimenter; Manipuler des outils ou équipements; Observer; Analyser,Analyser des substances; Faire des expériences; Rechercher,Problèmes scientifiques et expérimentaux,Laboratoire,Pratique,Régulier,Industrie,Recherche; Laboratoire; Industrie; Chimie,Seul ou en équipe,Acquérir une formation solide,IAA,Technicien de laboratoire,3.0
2026-07-07 13:58:31,Étudiant(e),D,Chimie; SVT; Mathématiques,Physique,Analyser; Expérimenter; Observer,Faire des expériences; Analyser des substances; Rechercher; Mesurer,Problèmes scientifiques et expérimentaux,Laboratoire,Pratique,Progressif,Industrie,Recherche; Chimie,En équipe,Aimer le domaine étudié,ICMP,Technicien,4.0
2026-07-11 11:03:41,Professionnel(le),A2,Philosophie; Français,Français,Argumenter; Analyser des textes; Communiquer,Débattre; Rédiger,Problèmes juridiques et sociaux,Lectures,Pratique et théorie,Calme et régulier,Tribunal; Administration,Justice; Société,Seul,La stabilité professionnelle,IAA,Expert en qualité alimentaire,4.0
2026-07-29 10:34:40,Étudiant(e),S,Mathématiques; Physique,Mathématiques; Informatique,Analyser des informations; Résoudre des problèmes logiques; Travailler avec des données; Utiliser des outils informatiques,Créer des applications; Programmer; Automatiser des tâches; Analyser des données,Problèmes logiques et techniques,Programmation; Projets pratiques,Pratique,Régulier,Entreprise,Robotique; Data; Technologie,En équipe,Développer des compétences professionnelles,IGGLIA,Ingénieur logiciel,1.0
2026-07-27 12:30:22,Étudiant(e),A2,Anglais; Histoire; Français,Français,Argumenter; Rédiger; Analyser des textes; Communiquer,Faire des recherches; Lire des documents; Rédiger; Débattre,Problèmes juridiques et sociaux,Lectures,Pratique et théorie,Régulier,Tribunal; Institution publique,Justice; Droit; Droits humains,Seul ou en équipe,Aimer le domaine étudié,IAA,Technicien agricole,2.0
2026-08-20 12:56:32,Étudiant(e),D,SVT; Physique; Chimie,SVT,Résoudre des problèmes; Expérimenter,Faire des expériences; Rechercher; Concevoir,Problèmes scientifiques,Expériences,Pratique et théorie,Régulier,Centre de recherche; Industrie,Technologie; Sciences; Environnement; Recherche,En équipe,Être utile à la société,AEE,Ingénieur agronome,3.0
2026-07-08 08:51:23,Professionnel(le),D,Mathématiques; SVT,Chimie; SVT,Manipuler des outils ou équipements; Analyser,Rechercher; Faire des expériences; Mesurer; Analyser des substances,Problèmes scientifiques et expérimentaux,Laboratoire,Pratique et théorie,Progressif,Laboratoire; Industrie,Recherche; Chimie; Environnement; Industrie,Seul ou en équipe,La pratique professionnelle,PIP,Chercheur,5.0
2026-07-11 07:36:00,Étudiant(e),S,Économie; Gestion,Économie; Mathématiques,Calculer; Organiser,Analyser des données; Analyser des comptes; Faire des calculs,Problèmes financiers,Travaux pratiques; Exercices,Pratique et théorie,Intensif et régulier,Entreprise,Gestion; Banque; Finance; Comptabilité,Seul ou en équipe,La stabilité professionnelle,ISAIA,Chef de projet,5.0
2026-07-20 13:18:49,Étudiant(e),A1,Mathématiques; Économie; Français,Français,Organiser; Négocier; Analyser; Communiquer,Communiquer; Faire du commerce; Négocier; Analyser un marché,Problèmes commerciaux,Simulations; Études de cas,Pratique et théorie,Dynamique,Agence,Marketing; Commerce; Entrepreneuriat,En équipe,Créer mon entreprise,TEE,Chargé marketing,5.0
2026-08-17 16:32:17,Étudiant(e),A2,Anglais; Philosophie,Histoire; Philosophie,Argumenter; Rédiger; Analyser des textes,Lire des documents; Débattre,Problèmes juridiques et sociaux,Lectures,Théorie,Calme et régulier,Tribunal; Administration,Droit; Justice,Seul ou en équipe,La reconnaissance du diplôme,PIP,Spécialiste en réglementaire pharmaceutique,2.0
2026-08-23 10:48:00,Étudiant(e),S,Gestion; Mathématiques,Économie,Analyser des données; Être rigoureux,Analyser des comptes; Faire des calculs,Problèmes financiers,Études de cas; Travaux pratiques,Théorie et pratique,Intensif et régulier,Entreprise,Banque; Comptabilité,Seul,Les perspectives de carrière,EMII,Assistant de recherche,4.0
2026-07-13 10:01:12,Étudiant(e),A2,Histoire; Anglais; Français,Français,Communiquer; Argumenter,Faire des recherches; Débattre; Rédiger; Lire des documents,Problèmes juridiques et sociaux,Études de cas; Débats,Théorie,Régulier,Institution publique,Administration; Justice; Droits humains; Société,Seul ou en équipe,La stabilité professionnelle,AEE,Spécialiste en développement rural,2.0
2026-07-23 15:59:05,Étudiant(e),S,Anglais; Mathématiques; Informatique,Informatique; Mathématiques,Analyser des informations; Résoudre des problèmes logiques; Utiliser des outils informatiques,Programmer; Analyser des données; Créer des applications; Automatiser des tâches,Problèmes logiques et techniques,Programmation,Pratique,Régulier,Entreprise,Robotique; Technologie; Programmation,En équipe,Développer des compétences professionnelles,IGGLIA,Technicien informatique,1.0
2026-07-24 15:02:35,Professionnel(le),A2,Mathématiques; Économie,Français,Négocier; Analyser,Négocier; Faire du commerce; Analyser un marché,Problèmes commerciaux,Projets,Pratique,Dynamique,Commerce; Entreprise,Entrepreneuriat; Marketing,En équipe,Les débouchés professionnels,AEE,Technicien agricole,5.0
2026-07-20 10:48:07,Professionnel(le),G,Économie; Mathématiques; Gestion,Économie,Organiser; Être rigoureux; Analyser des données; Calculer,Gérer; Analyser des données,Problèmes financiers,Exercices,Théorie et pratique,Intensif et régulier,Entreprise,Audit; Finance; Comptabilité; Gestion,Seul,Les perspectives de carrière,FIC,Auditeur,4.0
2026-07-18 12:12:35,Professionnel(le),C,Physique; Chimie,Chimie,Expérimenter; Analyser; Manipuler des outils ou équipements,Mesurer; Faire des expériences; Analyser des substances; Rechercher,Problèmes scientifiques et expérimentaux,Expériences,Pratique,Progressif,Centre de recherche; Industrie,Recherche; Industrie; Environnement; Laboratoire,Seul ou en équipe,Acquérir une formation solide,IAA,Chercheur,1.0
2026-08-14 09:44:32,Étudiant(e),A1,Économie; Gestion; Français,Mathématiques; Gestion,Analyser des données; Organiser; Calculer; Planifier,Planifier; Organiser; Analyser un marché; Gérer un projet,Problèmes économiques et organisationnels,Projets; Études de cas,Pratique et théorie,Régulier,Bureau,Management; Économie; Gestion,En équipe,Les débouchés professionnels,EMP,Chef de projet,1.0
2026-07-21 07:27:51,Étudiant(e),C,Mathématiques; Physique,SVT; Chimie,Expérimenter; Manipuler des outils ou équipements,Rechercher; Analyser des substances,Problèmes scientifiques et expérimentaux,Travaux pratiques,Pratique et théorie,Régulier,Laboratoire; Centre de recherche,Chimie; Industrie; Laboratoire,En équipe,La pratique professionnelle,ICMP,Technicien qualité,5.0
2026-08-12 14:45:23,Étudiant(e),G,Économie; Gestion; Mathématiques,Mathématiques; Économie,Analyser des données; Calculer,Gérer; Faire des calculs; Analyser des données; Analyser des comptes,Problèmes financiers,Exercices; Travaux pratiques,Pratique et théorie,Régulier,Bureau; Cabinet,Finance; Audit; Banque,Seul,Les perspectives de carrière,FIC,Analyste financier,2.0
2026-07-07 17:57:02,Professionnel(le),C,Physique; SVT; Chimie,Physique; Mathématiques,Analyser; Observer,Concevoir; Faire des expériences; Rechercher; Analyser,Problèmes scientifiques,Travaux pratiques,Pratique et théorie,Régulier,Centre de recherche,Sciences; Recherche; Environnement,En équipe,Acquérir une formation solide,GCA,Chercheur,3.0
2026-07-27 08:33:31,Étudiant(e),G,Mathématiques; Économie; Français,Économie; Français,Analyser; Organiser; Communiquer; Négocier,Analyser un marché; Communiquer,Problèmes commerciaux,Études de cas,Pratique,Dynamique,Agence; Entreprise,Commerce; Marketing; Entrepreneuriat; Vente,En équipe,Créer mon entreprise,CAA,Business developer,5.0
2026-07-11 11:27:59,Étudiant(e),S,Mathématiques; Chimie,Mathématiques,Expérimenter; Analyser; Résoudre des problèmes,Concevoir; Rechercher; Analyser,Problèmes scientifiques,Expériences; Recherche,Pratique et théorie,Régulier,Centre de recherche; Laboratoire,Environnement; Recherche; Technologie; Sciences,En équipe,Acquérir une formation solide,ESIIA,Chercheur,1.0
2026-07-24 08:13:56,Étudiant(e),G,Économie; Mathématiques,Français; Économie,Communiquer; Organiser; Négocier; Analyser,Analyser un marché; Négocier,Problèmes commerciaux,Projets,Pratique et théorie,Intensif,Commerce; Agence,Vente; Commerce,En équipe,Les débouchés professionnels,CAA,Business developer,5.0
2026-07-12 07:33:09,Étudiant(e),G,Économie; Gestion; Français,Mathématiques,Analyser des données; Planifier; Calculer; Organiser,Planifier; Analyser un marché,Problèmes économiques et organisationnels,Projets,Pratique et théorie,Dynamique,Bureau; Entreprise,Économie; Entrepreneuriat; Management,En équipe,Créer mon entreprise,TEE,Manager,1.0
2026-08-19 14:22:22,Étudiant(e),S,Français; Économie; Gestion,Mathématiques,Organiser; Analyser des données; Calculer,Gérer un projet; Planifier; Analyser un marché; Organiser,Problèmes économiques et organisationnels,Exercices pratiques,Pratique,Régulier,Bureau; Administration,Gestion; Management,En équipe,Les débouchés professionnels,GCA,Chef de projet,3.0
2026-07-31 09:24:27,Étudiant(e),G,Économie; Français,Français; Économie,Analyser; Négocier,Analyser un marché; Faire du commerce; Communiquer; Négocier,Problèmes commerciaux,Études de cas; Simulations,Pratique,Dynamique,Agence,Commerce; Vente; Marketing; Entrepreneuriat,En équipe,Créer mon entreprise,CAA,Business developer,5.0
2026-07-19 11:06:10,Étudiant(e),G,Gestion; Mathématiques,Économie,Calculer; Être rigoureux,Gérer; Faire des calculs; Analyser des données; Analyser des comptes,Problèmes financiers,Travaux pratiques; Exercices,Théorie et pratique,Intensif et régulier,Banque; Cabinet,Audit; Banque; Gestion,Seul,Les perspectives de carrière,FIC,Responsable administratif,3.0
2026-07-18 14:53:32,Étudiant(e),C,Mathématiques; Physique,SVT,Résoudre des problèmes; Analyser; Observer; Expérimenter,Rechercher; Analyser,Problèmes scientifiques,Recherche; Expériences,Pratique et théorie,Intensif et régulier,Industrie; Laboratoire,Environnement; Technologie; Sciences; Recherche,Seul ou en équipe,Être utile à la société,EMII,Chercheur,1.0
2026-07-08 15:21:02,Étudiant(e),A1,Économie; Gestion; Mathématiques,Mathématiques,Calculer; Planifier,Organiser; Gérer un projet; Analyser un marché; Planifier,Problèmes économiques et organisationnels,Études de cas; Exercices pratiques,Pratique et théorie,Régulier,Bureau; Administration,Management; Gestion; Économie,En équipe,Créer mon entreprise,EMP,Chef de projet,1.0
2026-08-15 07:05:02,Professionnel(le),C,Chimie; Physique,Mathématiques,Observer; Expérimenter; Résoudre des problèmes,Rechercher; Faire des expériences; Analyser,Problèmes scientifiques,Recherche,Pratique et théorie,Régulier,Centre de recherche,Recherche; Technologie; Sciences,En équipe,Être utile à la société,ESIIA,Ingénieur,3.0
2026-07-13 15:57:40,Étudiant(e),A1,Économie; Mathématiques; Français,Économie,Communiquer; Négocier; Organiser,Communiquer; Faire du commerce,Problèmes commerciaux,Projets,Pratique,Dynamique,Agence,Commerce; Vente; Entrepreneuriat; Marketing,En équipe,Les débouchés professionnels,TEE,Chargé marketing,2.0
2026-08-15 08:35:34,Professionnel(le),A2,Anglais; Histoire; Français,Français,Rédiger; Communiquer; Créer; Présenter,Créer du contenu; Présenter; Communiquer,Problèmes de communication,Présentations,Pratique et théorie,Intensif et régulier,Agence; Entreprise,Communication; Marketing; Événementiel,En équipe,Développer son réseau professionnel,IAA,Technicien agricole,3.0
2026-07-29 13:40:48,Étudiant(e),A1,Français; Économie; Mathématiques,Économie; Français,Analyser; Organiser; Communiquer,Faire du commerce; Communiquer,Problèmes commerciaux,Simulations; Études de cas,Pratique et théorie,Intensif,Entreprise; Agence,Marketing; Vente,En équipe,Créer mon entreprise,TEE,Chargé marketing,4.0
2026-07-17 09:04:16,Étudiant(e),A2,Français; Histoire,Anglais; Français,Créer; Rédiger,Organiser des événements; Présenter; Communiquer; Créer du contenu,Problèmes de communication,Travaux de groupe; Présentations,Pratique,Intensif et régulier,Média,Médias; Événementiel; Communication,En équipe,Développer mes compétences relationnelles,DTJA,Avocat,1.0
2026-07-13 15:26:52,Professionnel(le),A2,Anglais; Histoire,Philosophie; Histoire,Communiquer; Rédiger,Rédiger; Lire des documents,Problèmes juridiques et sociaux,Débats; Lectures,Théorie,Régulier,Cabinet,Société; Administration,Seul,La stabilité professionnelle,PIP,Chercheur,4.0
2026-07-23 10:09:50,Professionnel(le),C,SVT; Physique; Chimie,SVT,Expérimenter; Observer; Analyser,Faire des expériences; Analyser des substances; Mesurer,Problèmes scientifiques et expérimentaux,Expériences; Travaux pratiques,Pratique,Progressif,Centre de recherche,Laboratoire; Chimie,Seul ou en équipe,Aimer le domaine étudié,ICMP,Technicien de laboratoire,5.0
