Horodateur,Vous êtes actuellement :,Quelle était votre série au Baccalauréat ?,Quelles étaient vos matières préférées au lycée ?,Dans quelles matières vous étiez doués?,Dans quelles activités pensez-vous être naturellement à l'aise ?,"Parmi les activités suivantes, lesquelles vous attirent le plus ?",Quel type de problème aimez-vous le plus résoudre ?,Quel type d'activité pédagogique vous attire le plus ?,Aimez-vous plutôt la pratique ou les leçons (théorie) ?,Quel rythme de travail vous correspond le mieux ?,Dans quel environnement aimeriez-vous travailler ?,"Quels sont vos domaines d'intérêt principaux ? (Ex: programmation, musique, voyage, dessins, chimie, ...) Mentionnez-en plusieurs si vous en avez",Préférez-vous travailler principalement ,Qu'est-ce qui est le plus important pour vous dans le choix d'une formation ?,Avez-vous étudié ou étudiez-vous à l'ISPM ?,"Si oui, quelle est / a été votre filière (mention) à l'ISPM ?","Si vous êtes diplômé(e) / professionnel(le), quel est votre métier actuel ?","Si vous êtes diplômés, avec le recul, quel est votre niveau de satisfaction concernant l'adéquation entre votre formation et votre métier ?"
26/08/2026 13:01:24,Étudiant(e),Série A1 /Série A2,"Chimie, Sciences de la vie / Biologie, Histoire / Géographie","Chimie, Sciences de la vie / Biologie, Français / Langues, Histoire / Géographie","Rédiger, Travailler avec des personnes","Comprendre et utiliser des machines, Communiquer et travailler avec des personnes, Cuisiner et découvrir la gastronomie, Découvrir et faire découvrir des cultures, Travailler dans le tourisme, Protéger l'environnement, Travailler dans l'agriculture ou l'élevage","Problèmes liés à l'agriculture et à l'élevage, Problèmes liés à l'environnement, Problèmes liés au tourisme et à l'accueil","Faire des recherches documentaires, Réaliser des expériences, Faire des travaux pratiques, Faire des sorties / visites de terrain",Orienté très fortement Pratique & Projets,Travail avec des tâches variées,Hôtel / restaurant,,En binôme,Pouvoir évoluer professionnellement,Non,,,3
26/08/2026 13:03:39,Étudiant(e),Série A1 /Série A2,"Mathématiques, Physique, Français / Langues","Mathématiques, Physique, Français / Langues","Analyser des informations, Rédiger, Argumenter, Observer, Organiser","Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Organiser et coordonner des projets, Faire de la recherche scientifique",Problèmes juridiques et réglementaires,"Faire des recherches documentaires, Réaliser des expériences, Faire des travaux pratiques, Réaliser un projet, Participer à des simulations ou études de cas, Faire des sorties / visites de terrain",Équilibré entre Théorie et Pratique,Travail principalement régulier et structuré,Entreprise / organisation,"Les échecs, la danse",Seul(e),"Faire quelque chose que j'aime, Utiliser mes points forts, Créer ma propre entreprise, Faire de la recherche, Résoudre des problèmes, Avoir la possibilité de travailler à l'étranger, Travailler dans mon domaine de passion",Non,,,4
26/08/2026 13:04:13,Professionnel(le) diplômé(e) / Actif(ve),Série D,Mathématiques,"Sciences de la vie / Biologie, Histoire / Géographie","Calculer, Mémoriser, Observer, Communiquer",Cuisiner et découvrir la gastronomie,Problèmes mathématiques et logiques,"Réaliser des expériences, Faire des travaux pratiques",Orienté très fortement Pratique & Projets,Travail avec des tâches variées,Hôtel / restaurant,,En petite équipe,Faire quelque chose que j'aime,Oui,IGGLIA : Informatique de Gestion Génie Logiciel et Intelligence Artificielle,Logistique ,3
26/08/2026 13:05:59,Étudiant(e),Série D,Sciences de la vie / Biologie,Sciences de la vie / Biologie,"Observer, Organiser","Observer et comprendre des phénomènes scientifiques, Réaliser des expériences en laboratoire, Étudier le vivant, les plantes ou les animaux, Travailler dans l'agriculture ou l'élevage",Problèmes liés à l'agriculture et à l'élevage,"Faire des travaux pratiques, Faire des sorties / visites de terrain",Orienté très fortement Pratique & Projets,Travail principalement régulier et structuré,Environnement naturel,La musique et le voyage ,En petite équipe,Avoir de bonnes opportunités d'emploi,Oui,AEE : Agriculture et Elevage,,2
26/08/2026 13:06:14,Étudiant(e),Série D,Sciences de la vie / Biologie,"Physique, Sciences de la vie / Biologie","Analyser des informations, Observer, Expérimenter, Dessiner / concevoir, Manipuler des outils","Observer et comprendre des phénomènes scientifiques, Réaliser des expériences en laboratoire, Étudier les propriétés des substances et des matériaux, Étudier le vivant, les plantes ou les animaux, Concevoir et construire des objets ou infrastructures, Comprendre et utiliser des machines, Concevoir des systèmes techniques, Développer des logiciels ou utiliser des technologies numériques, Cuisiner et découvrir la gastronomie, Travailler dans l'agriculture ou l'élevage","Problèmes techniques et industriels, Problèmes liés aux machines et aux systèmes, Problèmes liés à l'environnement","Faire des recherches documentaires, Réaliser des expériences, Faire des travaux pratiques, Réaliser un projet, Faire des sorties / visites de terrain",Équilibré entre Théorie et Pratique,Travail principalement régulier et structuré,Laboratoire,,En grande équipe,"Faire quelque chose que j'aime, Avoir un salaire intéressant, Créer ma propre entreprise, Faire de la recherche, Être utile à la société, Travailler avec des technologies, Avoir un métier stable, Pouvoir évoluer professionnellement",Oui,ESIIA : Electronique Système Informatique et Intelligence Artificielle,,
26/08/2026 13:18:11,Étudiant(e),Série A1 /Série A2,Français / Langues,Français / Langues,Diriger une équipe,"Étudier le vivant, les plantes ou les animaux, Travailler dans le tourisme, Protéger l'environnement",Problèmes liés à l'environnement,Réaliser un projet,"Orienté fortement Théorie, Leçons",Travail avec des tâches variées,Hôtel / restaurant,,Seul(e),Utiliser mes matières préférées,Oui,"TEH : Tourisme , Environnement et Hôtellerie",Réceptionniste ,2
26/08/2026 13:19:53,Étudiant(e),Série A1 /Série A2,"Français / Langues, Histoire / Géographie, Philosophie","Français / Langues, Histoire / Géographie, Philosophie","Analyser des informations, Mémoriser, Observer","Communiquer et travailler avec des personnes, Défendre une idée ou argumenter, Étudier des lois, règles et réglementations","Problèmes juridiques et réglementaires, Problèmes liés à l'environnement","Faire des recherches documentaires, Faire des travaux pratiques, Travailler en groupe",Équilibré entre Théorie et Pratique,Travail principalement régulier et structuré,Tribunal / administration juridique,"Musique, dance, chant ",Seul(e),"Faire quelque chose que j'aime, Avoir de bonnes opportunités d'emploi, Pouvoir évoluer professionnellement",Oui,DTJA : Droit et Techniques Juridiques des Affaires,,
26/08/2026 13:25:09,Professionnel(le) diplômé(e) / Actif(ve),Série A1 /Série A2,Histoire / Géographie,Technologie / Sciences industrielles,Argumenter,Défendre une idée ou argumenter,Problèmes liés à l'environnement,Faire des recherches documentaires,Équilibré entre Théorie et Pratique,Je ne sais pas encore,Bureau / administration,,En binôme,Résoudre des problèmes,Oui,DTJA : Droit et Techniques Juridiques des Affaires,,4
26/08/2026 13:26:13,Étudiant(e),Série Technique,Arts / Design,Arts / Design,"Dessiner / concevoir, Diriger une équipe, Travailler avec des personnes","Concevoir et construire des objets ou infrastructures, Concevoir des systèmes techniques, Gérer une entreprise ou une organisation","Problèmes techniques et industriels, Problèmes liés à la construction et aux infrastructures","Faire des travaux pratiques, Réaliser un projet, Faire des sorties / visites de terrain, Travailler en groupe",Orienté très fortement Pratique & Projets,Travail avec des tâches variées,Chantier,,Seul(e),"Faire quelque chose que j'aime, Avoir un métier stable, Travailler dans mon domaine de passion",Oui,GCA : Génie Civil et Architecture,,
26/08/2026 13:26:54,Étudiant(e),Série C,"Mathématiques, Sciences de la vie / Biologie, Français / Langues, Histoire / Géographie, Philosophie","Sciences de la vie / Biologie, Français / Langues, Histoire / Géographie, Philosophie","Analyser des informations, Calculer, Rédiger, Mémoriser, Observer","Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Comprendre et utiliser des machines, Développer des logiciels ou utiliser des technologies numériques, Cuisiner et découvrir la gastronomie, Découvrir et faire découvrir des cultures, Travailler dans le tourisme, Protéger l'environnement","Problèmes mathématiques et logiques, Problèmes scientifiques et expérimentaux, Problèmes informatiques et numériques","Résoudre des exercices, Faire des recherches documentaires, Réaliser un projet, Faire des sorties / visites de terrain",Équilibré entre Théorie et Pratique,Travail principalement régulier et structuré,Environnement informatique / numérique,"Travaux manuels, cuisine",Seul(e),Avoir un métier stable,Oui,ESIIA : Electronique Système Informatique et Intelligence Artificielle,,
26/08/2026 13:28:41,Étudiant(e),Série C,"Mathématiques, Physique",Physique,"Programmer, Résoudre des problèmes, Manipuler des outils, Travailler avec des personnes","Comprendre et utiliser des machines, Concevoir des systèmes techniques, Développer des logiciels ou utiliser des technologies numériques, Communiquer et travailler avec des personnes","Problèmes liés aux machines et aux systèmes, Problèmes informatiques et numériques",Réaliser un projet,Équilibré entre Théorie et Pratique,Travail avec des tâches variées,Environnement informatique / numérique,"Voyage, musique, sport, programmation",En petite équipe,Faire quelque chose que j'aime,Oui,IGGLIA : Informatique de Gestion Génie Logiciel et Intelligence Artificielle,,
26/08/2026 13:34:18,Étudiant(e),Série A1 /Série A2,"Mathématiques, Français / Langues, Histoire / Géographie","Mathématiques, Français / Langues, Histoire / Géographie","Analyser des informations, Argumenter, Observer, Organiser","Analyser des chiffres et des données, Défendre une idée ou argumenter, Travailler dans l'agriculture ou l'élevage",Je ne sais pas encore,Réaliser un projet,Équilibré entre Théorie et Pratique,Travail avec des tâches variées,Entreprise / organisation,,En binôme,"Avoir de bonnes opportunités d'emploi, Avoir un salaire intéressant, Créer ma propre entreprise",Oui,CAA : Commerce et Administration des Affaires,diplome ,4
26/08/2026 13:39:51,Professionnel(le) diplômé(e) / Actif(ve),Série A1 /Série A2,"Mathématiques, Français / Langues, Histoire / Géographie, Philosophie","Mathématiques, Économie, Gestion / Comptabilité, Français / Langues, Histoire / Géographie, Philosophie","Analyser des informations, Rédiger, Argumenter, Observer, Expérimenter, Communiquer, Organiser, Diriger une équipe, Résoudre des problèmes, Manipuler des outils, Travailler avec des personnes","Analyser des chiffres et des données, Observer et comprendre des phénomènes scientifiques, Communiquer et travailler avec des personnes, Étudier des lois, règles et réglementations, Gérer une entreprise ou une organisation, Gérer les finances et la comptabilité, Organiser et coordonner des projets","Problèmes économiques et financiers, Problèmes liés à la gestion d'une organisation, Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce","Faire des recherches documentaires, Réaliser un projet, Participer à des simulations ou études de cas, Faire des sorties / visites de terrain, Travailler en groupe",Équilibré entre Théorie et Pratique,Travail avec des tâches variées,Bureau / administration,"Basket-ball, Tennis de table, musique, lecture",Cela m'est égal,"Faire quelque chose que j'aime, Utiliser mes matières préférées, Utiliser mes points forts, Avoir de bonnes opportunités d'emploi, Avoir un salaire intéressant, Créer ma propre entreprise, Faire de la recherche, Travailler avec des personnes, Avoir la possibilité de travailler à l'étranger, Avoir un métier stable, Pouvoir évoluer professionnellement, Travailler dans mon domaine de passion",Oui,FIC : Finances et Comptabilités,Contrôleur interne,4
26/08/2026 13:41:10,Étudiant(e),Série D,"Mathématiques, Physique, Chimie, Philosophie","Mathématiques, Physique, Sciences de la vie / Biologie","Analyser des informations, Calculer, Organiser","Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques","Problèmes mathématiques et logiques, Problèmes techniques et industriels, Problèmes informatiques et numériques","Réaliser des expériences, Faire des travaux pratiques, Réaliser un projet",Orienté très fortement Pratique & Projets,Travail avec des tâches variées,Environnement informatique / numérique,"Vibe Coding, Basket, Natation, Moto, Musique, Dessin, Voyage, Voiture ",Seul(e),"Faire quelque chose que j'aime, Utiliser mes points forts, Avoir un salaire intéressant, Créer ma propre entreprise, Résoudre des problèmes, Travailler avec des technologies, Pouvoir évoluer professionnellement",Non,,,
26/08/2026 13:42:58,Étudiant(e),Série A1 /Série A2,"Économie, Français / Langues","Sciences de la vie / Biologie, Français / Langues","Analyser des informations, Organiser","Communiquer et travailler avec des personnes, Gérer une entreprise ou une organisation, Vendre, négocier ou développer une activité commerciale",Je ne sais pas encore,Faire des sorties / visites de terrain,Équilibré entre Théorie et Pratique,Travail avec des tâches variées,Usine / environnement industriel,,En petite équipe,Faire quelque chose que j'aime,Oui,FIC : Finances et Comptabilités,,4
26/08/2026 13:58:45,Étudiant(e),Série D,"Mathématiques, Sciences de la vie / Biologie","Mathématiques, Sciences de la vie / Biologie","Analyser des informations, Calculer, Expérimenter, Dessiner / concevoir","Étudier le vivant, les plantes ou les animaux",Problèmes informatiques et numériques,Résoudre des exercices,Équilibré entre Théorie et Pratique,Travail principalement régulier et structuré,Bureau / administration,,En binôme,Faire quelque chose que j'aime,,IGGLIA : Informatique de Gestion Génie Logiciel et Intelligence Artificielle,,2
26/08/2026 14:02:04,Étudiant(e),Série A1 /Série A2,"Mathématiques, Sciences de la vie / Biologie, Philosophie","Mathématiques, Arts / Design","Mémoriser, Dessiner / concevoir, Diriger une équipe","Étudier des lois, règles et réglementations, Créer et concevoir des contenus, Protéger l'environnement","Problèmes liés à la gestion d'une organisation, Problèmes liés à l'environnement","Faire des recherches documentaires, Réaliser des expériences",Équilibré entre Théorie et Pratique,Travail avec des tâches variées,Centre de recherche,Dessins ,En petite équipe,"Utiliser mes points forts, Créer ma propre entreprise, Être utile à la société, Avoir un métier stable",Non,,,3
26/08/2026 14:06:13,Professionnel(le) diplômé(e) / Actif(ve),Série A1 /Série A2,"Mathématiques, Physique, Chimie, Sciences de la vie / Biologie, Français / Langues","Physique, Sciences de la vie / Biologie",Dessiner / concevoir,"Observer et comprendre des phénomènes scientifiques, Réaliser des expériences en laboratoire, Concevoir et construire des objets ou infrastructures, Gérer les finances et la comptabilité, Créer et concevoir des contenus, Cuisiner et découvrir la gastronomie, Découvrir et faire découvrir des cultures",Je ne sais pas encore,"Faire des recherches documentaires, Réaliser un projet, Faire des sorties / visites de terrain",Équilibré entre Théorie et Pratique,Je ne sais pas encore,Atelier,"Dessins, travaux manuels, voyage, etc",En petite équipe,"Faire quelque chose que j'aime, Avoir un salaire intéressant, Créer ma propre entreprise, Être utile à la société, Avoir la possibilité de travailler à l'étranger, Avoir un métier stable, Pouvoir évoluer professionnellement, Travailler dans mon domaine de passion",Non,,collaborateur ,5
26/08/2026 14:11:42,Étudiant(e),Série D,"Mathématiques, Physique, Chimie",Mathématiques,"Analyser des informations, Diriger une équipe, Travailler avec des personnes",Gérer les finances et la comptabilité,"Problèmes économiques et financiers, Problèmes liés à la gestion d'une organisation","Résoudre des exercices, Travailler en groupe",Orienté très fortement Pratique & Projets,Travail avec des tâches variées,Bureau / administration,,Seul(e),"Faire quelque chose que j'aime, Travailler avec des personnes, Avoir la possibilité de travailler à l'étranger",Non,,,
26/08/2026 14:17:35,Étudiant(e),Série A1 /Série A2,"Chimie, Histoire / Géographie","Mathématiques, Physique, Chimie, Français / Langues, Histoire / Géographie","Observer, Résoudre des problèmes","Concevoir et construire des objets ou infrastructures, Travailler dans l'agriculture ou l'élevage, Faire de la recherche scientifique","Problèmes liés à la communication et au commerce, Je ne sais pas encore",Faire des sorties / visites de terrain,Orienté très fortement Pratique & Projets,Travail principalement régulier et structuré,Environnement naturel,Agro et programmation ,Cela m'est égal,"Faire quelque chose que j'aime, Utiliser mes points forts, Créer ma propre entreprise",Non,,,2
26/08/2026 14:19:55,Professionnel(le) diplômé(e) / Actif(ve),Série OSE,Gestion / Comptabilité,Gestion / Comptabilité,Rédiger,Gérer une entreprise ou une organisation,Problèmes liés à la gestion d'une organisation,Réaliser un projet,Équilibré entre Théorie et Pratique,Travail principalement régulier et structuré,Bureau / administration,Voyage,Avec beaucoup de contacts avec des partenaires,"Avoir de bonnes opportunités d'emploi, Avoir un salaire intéressant, Créer ma propre entreprise",Non,,Gestionaires Client,4
26/08/2026 14:50:03,Étudiant(e),Série D,"Physique, Chimie, Philosophie","Chimie, Français / Langues, Philosophie","Rédiger, Observer, Expérimenter, Organiser, Diriger une équipe","Réaliser des expériences en laboratoire, Communiquer et travailler avec des personnes",Problèmes liés à l'environnement,"Réaliser des expériences, Faire des travaux pratiques, Faire des sorties / visites de terrain, Travailler en groupe",Équilibré entre Théorie et Pratique,Travail avec des tâches variées,Entreprise / organisation,,En petite équipe,"Faire quelque chose que j'aime, Avoir un salaire intéressant, Créer ma propre entreprise, Travailler avec des personnes, Travailler avec des technologies, Avoir la possibilité de travailler à l'étranger, Avoir un métier stable, Pouvoir évoluer professionnellement, Travailler dans mon domaine de passion",Oui,GCA : Génie Civil et Architecture,,3
26/08/2026 14:50:54,Étudiant(e),Série D,Sciences de la vie / Biologie,"Sciences de la vie / Biologie, Français / Langues, Arts / Design","Analyser des informations, Observer, Expérimenter, Communiquer, Résoudre des problèmes, Manipuler des outils, Travailler avec des personnes","Observer et comprendre des phénomènes scientifiques, Réaliser des expériences en laboratoire, Étudier les propriétés des substances et des matériaux, Étudier le vivant, les plantes ou les animaux, Comprendre et utiliser des machines, Communiquer et travailler avec des personnes, Cuisiner et découvrir la gastronomie","Problèmes scientifiques et expérimentaux, Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes liés à l'environnement","Faire des recherches documentaires, Réaliser des expériences, Faire des travaux pratiques, Réaliser un projet, Faire des présentations / exposés",Équilibré entre Théorie et Pratique,Je ne sais pas encore,Établissement de santé / pharmaceutique,Industrie pharmaceutique et cosmétique,En petite équipe,Créer ma propre entreprise,Oui,PIP : Pharmacologie et Industries Pharmaceutiques,,
26/08/2026 15:07:26,Étudiant(e),Série C,"Physique, Chimie, Histoire / Géographie","Mathématiques, Physique, Chimie, Histoire / Géographie","Analyser des informations, Organiser","Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Gérer une entreprise ou une organisation","Problèmes mathématiques et logiques, Problèmes liés à la construction et aux infrastructures","Résoudre des exercices, Réaliser un projet",Équilibré entre Théorie et Pratique,Travail principalement régulier et structuré,Centre de recherche,,En petite équipe,"Faire quelque chose que j'aime, Créer ma propre entreprise, Faire de la recherche, Résoudre des problèmes",Oui,GCA : Génie Civil et Architecture,,
26/08/2026 16:19:42,Étudiant(e),Série A1 /Série A2,"Physique, Sciences de la vie / Biologie",Français / Langues,"Organiser, Travailler avec des personnes","Cuisiner et découvrir la gastronomie, Travailler dans le tourisme",Problèmes liés au tourisme et à l'accueil,Faire des sorties / visites de terrain,Orienté très fortement Pratique & Projets,Travail avec des tâches variées,Je ne sais pas encore,"voyage, sport, musique, randonnée ",En petite équipe,"Faire quelque chose que j'aime, Avoir de bonnes opportunités d'emploi, Travailler avec des personnes, Avoir la possibilité de travailler à l'étranger, Pouvoir évoluer professionnellement, Travailler dans mon domaine de passion",Non,,,
26/08/2026 16:21:00,Étudiant(e),Série D,"Mathématiques, Sciences de la vie / Biologie","Mathématiques, Sciences de la vie / Biologie, Français / Langues","Analyser des informations, Calculer, Communiquer, Résoudre des problèmes","Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Réaliser des expériences en laboratoire, Protéger l'environnement, Travailler dans l'agriculture ou l'élevage","Problèmes mathématiques et logiques, Problèmes liés à l'agriculture et à l'élevage, Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes liés à l'environnement","Résoudre des exercices, Réaliser des expériences, Faire des travaux pratiques, Réaliser un projet, Faire des sorties / visites de terrain",Équilibré entre Théorie et Pratique,Travail principalement régulier et structuré,Usine / environnement industriel,"Musique, science ",Seul(e),"Faire quelque chose que j'aime, Utiliser mes points forts",Oui,IAA : Industrie Agroalimentaire,Ingénieur en industrie agroalimentaire ,3
